Date,Paracetamolo[it],
2008-01-23 04,0,
2008-01-23 05,1,
2008-01-23 06,0,
2008-01-23 07,2,
2008-01-23 08,12,
2008-01-23 09,10,
2008-01-23 10,24,
2008-01-23 11,25,
2008-01-23 12,31,
2008-01-23 13,11,
2008-01-23 14,31,
2008-01-23 15,16,
2008-01-23 16,25,
2008-01-23 17,28,
2008-01-23 18,20,
2008-01-23 19,16,
2008-01-23 20,13,
2008-01-23 21,20,
2008-01-23 22,10,
2008-01-23 23,22,
2008-01-24 00,13,
2008-01-24 01,0,
2008-01-24 02,1,
2008-01-24 03,3,
2008-01-24 04,1,
2008-01-24 05,2,
2008-01-24 06,0,
2008-01-24 07,3,
2008-01-24 08,5,
2008-01-24 09,22,
2008-01-24 10,20,
2008-01-24 11,20,
2008-01-24 12,16,
2008-01-24 13,9,
2008-01-24 14,32,
2008-01-24 15,16,
2008-01-24 16,34,
2008-01-24 17,20,
2008-01-24 18,15,
2008-01-24 19,30,
2008-01-24 20,10,
2008-01-24 21,23,
2008-01-24 22,15,
2008-01-24 23,25,
2008-01-25 00,22,
2008-01-25 01,0,
2008-01-25 02,4,
2008-01-25 03,7,
2008-01-25 04,3,
2008-01-25 05,2,
2008-01-25 06,0,
2008-01-25 07,1,
2008-01-25 08,7,
2008-01-25 09,14,
2008-01-25 10,29,
2008-01-25 11,22,
2008-01-25 12,16,
2008-01-25 13,25,
2008-01-25 14,23,
2008-01-25 15,40,
2008-01-25 16,23,
2008-01-25 17,27,
2008-01-25 18,21,
2008-01-25 19,26,
2008-01-25 20,14,
2008-01-25 21,6,
2008-01-25 22,16,
2008-01-25 23,8,
2008-01-26 00,10,
2008-01-26 01,7,
2008-01-26 02,5,
2008-01-26 03,0,
2008-01-26 04,3,
2008-01-26 05,0,
2008-01-26 06,1,
2008-01-26 07,1,
2008-01-26 08,6,
2008-01-26 09,8,
2008-01-26 10,14,
2008-01-26 11,13,
2008-01-26 12,21,
2008-01-26 13,17,
2008-01-26 14,9,
2008-01-26 15,16,
2008-01-26 16,21,
2008-01-26 17,12,
2008-01-26 18,29,
2008-01-26 19,20,
2008-01-26 20,15,
2008-01-26 21,13,
2008-01-26 22,11,
2008-01-26 23,15,
2008-01-27 00,1,
2008-01-27 01,0,
2008-01-27 02,2,
2008-01-27 03,1,
2008-01-27 04,1,
2008-01-27 05,0,
2008-01-27 06,0,
2008-01-27 07,0,
2008-01-27 08,4,
2008-01-27 09,13,
2008-01-27 10,10,
2008-01-27 11,14,
2008-01-27 12,13,
2008-01-27 13,14,
2008-01-27 14,11,
2008-01-27 15,18,
2008-01-27 16,19,
2008-01-27 17,21,
2008-01-27 18,27,
2008-01-27 19,17,
2008-01-27 20,24,
2008-01-27 21,21,
2008-01-27 22,13,
2008-01-27 23,6,
2008-01-28 00,5,
2008-01-28 01,4,
2008-01-28 02,0,
2008-01-28 03,0,
2008-01-28 04,0,
2008-01-28 05,0,
2008-01-28 06,0,
2008-01-28 07,0,
2008-01-28 08,19,
2008-01-28 09,22,
2008-01-28 10,20,
2008-01-28 11,26,
2008-01-28 12,25,
2008-01-28 13,22,
2008-01-28 14,22,
2008-01-28 15,13,
2008-01-28 16,32,
2008-01-28 17,18,
2008-01-28 18,20,
2008-01-28 19,17,
2008-01-28 20,25,
2008-01-28 21,23,
2008-01-28 22,4,
2008-01-28 23,9,
2008-01-29 00,4,
2008-01-29 01,2,
2008-01-29 02,3,
2008-01-29 03,1,
2008-01-29 04,1,
2008-01-29 05,1,
2008-01-29 06,0,
2008-01-29 07,0,
2008-01-29 08,12,
2008-01-29 09,12,
2008-01-29 10,13,
2008-01-29 11,33,
2008-01-29 12,24,
2008-01-29 13,15,
2008-01-29 14,30,
2008-01-29 15,23,
2008-01-29 16,39,
2008-01-29 17,24,
2008-01-29 18,29,
2008-01-29 19,20,
2008-01-29 20,18,
2008-01-29 21,28,
2008-01-29 22,18,
2008-01-29 23,19,
2008-01-30 00,9,
2008-01-30 01,4,
2008-01-30 02,0,
2008-01-30 03,3,
2008-01-30 04,0,
2008-01-30 05,0,
2008-01-30 06,1,
2008-01-30 07,1,
2008-01-30 08,13,
2008-01-30 09,12,
2008-01-30 10,23,
2008-01-30 11,28,
2008-01-30 12,15,
2008-01-30 13,27,
2008-01-30 14,21,
2008-01-30 15,27,
2008-01-30 16,32,
2008-01-30 17,17,
2008-01-30 18,20,
2008-01-30 19,21,
2008-01-30 20,26,
2008-01-30 21,14,
2008-01-30 22,18,
2008-01-30 23,27,
2008-01-31 00,5,
2008-01-31 01,2,
2008-01-31 02,0,
2008-01-31 03,0,
2008-01-31 04,0,
2008-01-31 05,0,
2008-01-31 06,0,
2008-01-31 07,2,
2008-01-31 08,9,
2008-01-31 09,12,
2008-01-31 10,15,
2008-01-31 11,16,
2008-01-31 12,37,
2008-01-31 13,35,
2008-01-31 14,20,
2008-01-31 15,24,
2008-01-31 16,19,
2008-01-31 17,18,
2008-01-31 18,37,
2008-01-31 19,29,
2008-01-31 20,32,
2008-01-31 21,14,
2008-01-31 22,26,
2008-01-31 23,8,
2008-02-01 00,4,
2008-02-01 01,5,
2008-02-01 02,3,
2008-02-01 03,0,
2008-02-01 04,0,
2008-02-01 05,0,
2008-02-01 06,0,
2008-02-01 07,4,
2008-02-01 08,8,
2008-02-01 09,17,
2008-02-01 10,17,
2008-02-01 11,21,
2008-02-01 12,16,
2008-02-01 13,18,
2008-02-01 14,22,
2008-02-01 15,25,
2008-02-01 16,19,
2008-02-01 17,24,
2008-02-01 18,22,
2008-02-01 19,26,
2008-02-01 20,25,
2008-02-01 21,10,
2008-02-01 22,7,
2008-02-01 23,19,
2008-02-02 00,7,
2008-02-02 01,1,
2008-02-02 02,1,
2008-02-02 03,0,
2008-02-02 04,4,
2008-02-02 05,2,
2008-02-02 06,3,
2008-02-02 07,7,
2008-02-02 08,1,
2008-02-02 09,10,
2008-02-02 10,13,
2008-02-02 11,23,
2008-02-02 12,15,
2008-02-02 13,8,
2008-02-02 14,23,
2008-02-02 15,20,
2008-02-02 16,15,
2008-02-02 17,19,
2008-02-02 18,13,
2008-02-02 19,14,
2008-02-02 20,18,
2008-02-02 21,8,
2008-02-02 22,11,
2008-02-02 23,11,
2008-02-03 00,10,
2008-02-03 01,1,
2008-02-03 02,5,
2008-02-03 03,2,
2008-02-03 04,2,
2008-02-03 05,0,
2008-02-03 06,0,
2008-02-03 07,0,
2008-02-03 08,5,
2008-02-03 09,7,
2008-02-03 10,10,
2008-02-03 11,10,
2008-02-03 12,12,
2008-02-03 13,16,
2008-02-03 14,19,
2008-02-03 15,7,
2008-02-03 16,11,
2008-02-03 17,18,
2008-02-03 18,24,
2008-02-03 19,24,
2008-02-03 20,17,
2008-02-03 21,24,
2008-02-03 22,23,
2008-02-03 23,22,
2008-02-04 00,5,
2008-02-04 01,4,
2008-02-04 02,0,
2008-02-04 03,0,
2008-02-04 04,1,
2008-02-04 05,0,
2008-02-04 06,0,
2008-02-04 07,4,
2008-02-04 08,9,
2008-02-04 09,14,
2008-02-04 10,18,
2008-02-04 11,34,
2008-02-04 12,14,
2008-02-04 13,22,
2008-02-04 14,19,
2008-02-04 15,21,
2008-02-04 16,17,
2008-02-04 17,24,
2008-02-04 18,17,
2008-02-04 19,32,
2008-02-04 20,16,
2008-02-04 21,11,
2008-02-04 22,13,
2008-02-04 23,11,
2008-02-05 00,7,
2008-02-05 01,3,
2008-02-05 02,3,
2008-02-05 03,0,
2008-02-05 04,1,
2008-02-05 05,0,
2008-02-05 06,1,
2008-02-05 07,2,
2008-02-05 08,11,
2008-02-05 09,17,
2008-02-05 10,20,
2008-02-05 11,18,
2008-02-05 12,28,
2008-02-05 13,19,
2008-02-05 14,19,
2008-02-05 15,13,
2008-02-05 16,21,
2008-02-05 17,27,
2008-02-05 18,27,
2008-02-05 19,9,
2008-02-05 20,24,
2008-02-05 21,6,
2008-02-05 22,18,
2008-02-05 23,9,
2008-02-06 00,10,
2008-02-06 01,9,
2008-02-06 02,2,
2008-02-06 03,2,
2008-02-06 04,0,
2008-02-06 05,2,
2008-02-06 06,1,
2008-02-06 07,3,
2008-02-06 08,19,
2008-02-06 09,16,
2008-02-06 10,21,
2008-02-06 11,20,
2008-02-06 12,34,
2008-02-06 13,26,
2008-02-06 14,29,
2008-02-06 15,22,
2008-02-06 16,18,
2008-02-06 17,17,
2008-02-06 18,28,
2008-02-06 19,15,
2008-02-06 20,12,
2008-02-06 21,27,
2008-02-06 22,10,
2008-02-06 23,18,
2008-02-07 00,8,
2008-02-07 01,0,
2008-02-07 02,0,
2008-02-07 03,2,
2008-02-07 04,0,
2008-02-07 05,2,
2008-02-07 06,0,
2008-02-07 07,4,
2008-02-07 08,3,
2008-02-07 09,17,
2008-02-07 10,24,
2008-02-07 11,29,
2008-02-07 12,20,
2008-02-07 13,16,
2008-02-07 14,9,
2008-02-07 15,23,
2008-02-07 16,9,
2008-02-07 17,22,
2008-02-07 18,27,
2008-02-07 19,19,
2008-02-07 20,18,
2008-02-07 21,21,
2008-02-07 22,9,
2008-02-07 23,14,
2008-02-08 00,5,
2008-02-08 01,1,
2008-02-08 02,0,
2008-02-08 03,0,
2008-02-08 04,5,
2008-02-08 05,2,
2008-02-08 06,1,
2008-02-08 07,2,
2008-02-08 08,9,
2008-02-08 09,9,
2008-02-08 10,24,
2008-02-08 11,20,
2008-02-08 12,32,
2008-02-08 13,24,
2008-02-08 14,31,
2008-02-08 15,16,
2008-02-08 16,40,
2008-02-08 17,34,
2008-02-08 18,12,
2008-02-08 19,13,
2008-02-08 20,12,
2008-02-08 21,22,
2008-02-08 22,14,
2008-02-08 23,8,
2008-02-09 00,9,
2008-02-09 01,3,
2008-02-09 02,0,
2008-02-09 03,1,
2008-02-09 04,0,
2008-02-09 05,0,
2008-02-09 06,0,
2008-02-09 07,1,
2008-02-09 08,5,
2008-02-09 09,12,
2008-02-09 10,5,
2008-02-09 11,24,
2008-02-09 12,12,
2008-02-09 13,12,
2008-02-09 14,11,
2008-02-09 15,17,
2008-02-09 16,22,
2008-02-09 17,30,
2008-02-09 18,26,
2008-02-09 19,17,
2008-02-09 20,14,
2008-02-09 21,12,
2008-02-09 22,12,
2008-02-09 23,8,
2008-02-10 00,7,
2008-02-10 01,9,
2008-02-10 02,14,
2008-02-10 03,4,
2008-02-10 04,1,
2008-02-10 05,0,
2008-02-10 06,1,
2008-02-10 07,5,
2008-02-10 08,2,
2008-02-10 09,13,
2008-02-10 10,6,
2008-02-10 11,18,
2008-02-10 12,18,
2008-02-10 13,13,
2008-02-10 14,21,
2008-02-10 15,20,
2008-02-10 16,8,
2008-02-10 17,9,
2008-02-10 18,19,
2008-02-10 19,9,
2008-02-10 20,28,
2008-02-10 21,11,
2008-02-10 22,20,
2008-02-10 23,10,
2008-02-11 00,8,
2008-02-11 01,7,
2008-02-11 02,15,
2008-02-11 03,1,
2008-02-11 04,1,
2008-02-11 05,0,
2008-02-11 06,4,
2008-02-11 07,3,
2008-02-11 08,15,
2008-02-11 09,12,
2008-02-11 10,12,
2008-02-11 11,20,
2008-02-11 12,31,
2008-02-11 13,15,
2008-02-11 14,20,
2008-02-11 15,18,
2008-02-11 16,18,
2008-02-11 17,25,
2008-02-11 18,39,
2008-02-11 19,28,
2008-02-11 20,21,
2008-02-11 21,20,
2008-02-11 22,14,
2008-02-11 23,20,
2008-02-12 00,7,
2008-02-12 01,7,
2008-02-12 02,3,
2008-02-12 03,5,
2008-02-12 04,1,
2008-02-12 05,2,
2008-02-12 06,0,
2008-02-12 07,5,
2008-02-12 08,14,
2008-02-12 09,15,
2008-02-12 10,16,
2008-02-12 11,25,
2008-02-12 12,26,
2008-02-12 13,8,
2008-02-12 14,20,
2008-02-12 15,26,
2008-02-12 16,27,
2008-02-12 17,19,
2008-02-12 18,39,
2008-02-12 19,25,
2008-02-12 20,11,
2008-02-12 21,17,
2008-02-12 22,8,
2008-02-12 23,7,
2008-02-13 00,7,
2008-02-13 01,2,
2008-02-13 02,3,
2008-02-13 03,5,
2008-02-13 04,2,
2008-02-13 05,0,
2008-02-13 06,1,
2008-02-13 07,5,
2008-02-13 08,8,
2008-02-13 09,24,
2008-02-13 10,31,
2008-02-13 11,21,
2008-02-13 12,25,
2008-02-13 13,15,
2008-02-13 14,35,
2008-02-13 15,37,
2008-02-13 16,25,
2008-02-13 17,15,
2008-02-13 18,25,
2008-02-13 19,28,
2008-02-13 20,18,
2008-02-13 21,16,
2008-02-13 22,6,
2008-02-13 23,27,
2008-02-14 00,4,
2008-02-14 01,10,
2008-02-14 02,1,
2008-02-14 03,0,
2008-02-14 04,0,
2008-02-14 05,3,
2008-02-14 06,0,
2008-02-14 07,5,
2008-02-14 08,8,
2008-02-14 09,20,
2008-02-14 10,20,
2008-02-14 11,11,
2008-02-14 12,29,
2008-02-14 13,9,
2008-02-14 14,23,
2008-02-14 15,22,
2008-02-14 16,25,
2008-02-14 17,24,
2008-02-14 18,21,
2008-02-14 19,22,
2008-02-14 20,18,
2008-02-14 21,22,
2008-02-14 22,19,
2008-02-14 23,2,
2008-02-15 00,8,
2008-02-15 01,4,
2008-02-15 02,0,
2008-02-15 03,2,
2008-02-15 04,0,
2008-02-15 05,0,
2008-02-15 06,3,
2008-02-15 07,1,
2008-02-15 08,7,
2008-02-15 09,14,
2008-02-15 10,13,
2008-02-15 11,16,
2008-02-15 12,10,
2008-02-15 13,23,
2008-02-15 14,24,
2008-02-15 15,25,
2008-02-15 16,24,
2008-02-15 17,19,
2008-02-15 18,22,
2008-02-15 19,42,
2008-02-15 20,14,
2008-02-15 21,15,
2008-02-15 22,19,
2008-02-15 23,9,
2008-02-16 00,2,
2008-02-16 01,2,
2008-02-16 02,6,
2008-02-16 03,2,
2008-02-16 04,1,
2008-02-16 05,3,
2008-02-16 06,1,
2008-02-16 07,3,
2008-02-16 08,4,
2008-02-16 09,7,
2008-02-16 10,9,
2008-02-16 11,21,
2008-02-16 12,18,
2008-02-16 13,30,
2008-02-16 14,21,
2008-02-16 15,14,
2008-02-16 16,33,
2008-02-16 17,16,
2008-02-16 18,12,
2008-02-16 19,20,
2008-02-16 20,7,
2008-02-16 21,21,
2008-02-16 22,14,
2008-02-16 23,8,
2008-02-17 00,6,
2008-02-17 01,0,
2008-02-17 02,2,
2008-02-17 03,4,
2008-02-17 04,2,
2008-02-17 05,2,
2008-02-17 06,2,
2008-02-17 07,2,
2008-02-17 08,5,
2008-02-17 09,16,
2008-02-17 10,14,
2008-02-17 11,24,
2008-02-17 12,21,
2008-02-17 13,21,
2008-02-17 14,18,
2008-02-17 15,11,
2008-02-17 16,13,
2008-02-17 17,25,
2008-02-17 18,30,
2008-02-17 19,19,
2008-02-17 20,27,
2008-02-17 21,15,
2008-02-17 22,8,
2008-02-17 23,13,
2008-02-18 00,12,
2008-02-18 01,6,
2008-02-18 02,17,
2008-02-18 03,0,
2008-02-18 04,0,
2008-02-18 05,0,
2008-02-18 06,2,
2008-02-18 07,2,
2008-02-18 08,8,
2008-02-18 09,16,
2008-02-18 10,26,
2008-02-18 11,30,
