Date,Wikipedia[it],
2008-01-12 13,199,
2008-01-12 14,348,
2008-01-12 15,402,
2008-01-12 16,391,
2008-01-12 17,384,
2008-01-12 18,337,
2008-01-12 19,310,
2008-01-12 20,224,
2008-01-12 21,215,
2008-01-12 22,189,
2008-01-12 23,163,
2008-01-13 00,126,
2008-01-13 01,63,
2008-01-13 02,38,
2008-01-13 03,21,
2008-01-13 04,15,
2008-01-13 05,3,
2008-01-13 06,5,
2008-01-13 07,13,
2008-01-13 08,48,
2008-01-13 09,122,
2008-01-13 10,226,
2008-01-13 11,329,
2008-01-13 12,339,
2008-01-13 13,283,
2008-01-13 14,378,
2008-01-13 15,427,
2008-01-13 16,450,
2008-01-13 17,443,
2008-01-13 18,476,
2008-01-13 19,462,
2008-01-13 20,361,
2008-01-13 21,288,
2008-01-13 22,249,
2008-01-13 23,152,
2008-01-14 00,84,
2008-01-14 01,75,
2008-01-14 02,50,
2008-01-14 03,17,
2008-01-14 04,16,
2008-01-14 05,8,
2008-01-14 06,16,
2008-01-14 07,39,
2008-01-14 08,125,
2008-01-14 09,232,
2008-01-14 10,290,
2008-01-14 11,358,
2008-01-14 12,388,
2008-01-14 13,283,
2008-01-14 14,437,
2008-01-14 15,574,
2008-01-14 16,586,
2008-01-14 17,649,
2008-01-14 18,596,
2008-01-14 19,538,
2008-01-14 20,431,
2008-01-14 21,403,
2008-01-14 22,279,
2008-01-14 23,189,
2008-01-15 00,104,
2008-01-15 01,66,
2008-01-15 02,25,
2008-01-15 03,21,
2008-01-15 04,14,
2008-01-15 05,16,
2008-01-15 06,11,
2008-01-15 07,27,
2008-01-15 08,132,
2008-01-15 09,251,
2008-01-15 10,507,
2008-01-15 11,480,
2008-01-15 12,490,
2008-01-15 13,447,
2008-01-15 14,701,
2008-01-15 15,772,
2008-01-15 16,814,
2008-01-15 17,762,
2008-01-15 18,698,
2008-01-15 19,631,
2008-01-15 20,459,
2008-01-15 21,463,
2008-01-15 22,401,
2008-01-15 23,239,
2008-01-16 00,144,
2008-01-16 01,67,
2008-01-16 02,36,
2008-01-16 03,16,
2008-01-16 04,16,
2008-01-16 05,21,
2008-01-16 06,21,
2008-01-16 07,32,
2008-01-16 08,167,
2008-01-16 09,274,
2008-01-16 10,347,
2008-01-16 11,409,
2008-01-16 12,417,
2008-01-16 13,366,
2008-01-16 14,474,
2008-01-16 15,657,
2008-01-16 16,623,
2008-01-16 17,649,
2008-01-16 18,622,
2008-01-16 19,552,
2008-01-16 20,386,
2008-01-16 21,368,
2008-01-16 22,257,
2008-01-16 23,184,
2008-01-17 00,126,
2008-01-17 01,69,
2008-01-17 02,20,
2008-01-17 03,23,
2008-01-17 04,17,
2008-01-17 05,14,
2008-01-17 06,21,
2008-01-17 07,47,
2008-01-17 08,126,
2008-01-17 09,292,
2008-01-17 10,346,
2008-01-17 11,406,
2008-01-17 12,431,
2008-01-17 13,315,
2008-01-17 14,442,
2008-01-17 15,551,
2008-01-17 16,602,
2008-01-17 17,648,
2008-01-17 18,610,
2008-01-17 19,443,
2008-01-17 20,430,
2008-01-17 21,342,
2008-01-17 22,269,
2008-01-17 23,193,
2008-01-18 00,103,
2008-01-18 01,53,
2008-01-18 02,37,
2008-01-18 03,20,
2008-01-18 04,13,
2008-01-18 05,19,
2008-01-18 06,21,
2008-01-18 07,48,
2008-01-18 08,143,
2008-01-18 09,292,
2008-01-18 10,327,
2008-01-18 11,1,
2008-01-18 12,361,
2008-01-18 13,284,
2008-01-18 14,402,
2008-01-18 15,540,
2008-01-18 16,559,
2008-01-18 17,519,
2008-01-18 18,516,
2008-01-18 19,369,
2008-01-18 20,374,
2008-01-18 21,314,
2008-01-18 22,261,
2008-01-18 23,163,
2008-01-19 00,90,
2008-01-19 01,60,
2008-01-19 02,28,
2008-01-19 03,15,
2008-01-19 04,13,
2008-01-19 05,15,
2008-01-19 06,14,
2008-01-19 07,17,
2008-01-19 08,87,
2008-01-19 09,142,
2008-01-19 10,249,
2008-01-19 11,262,
2008-01-19 12,247,
2008-01-19 13,216,
2008-01-19 14,297,
2008-01-19 15,357,
2008-01-19 16,359,
2008-01-19 17,374,
2008-01-19 18,305,
2008-01-19 19,343,
2008-01-19 20,230,
2008-01-19 21,226,
2008-01-19 22,167,
2008-01-19 23,163,
2008-01-20 00,93,
2008-01-20 01,68,
2008-01-20 02,39,
2008-01-20 03,26,
2008-01-20 04,20,
2008-01-20 05,6,
2008-01-20 06,16,
2008-01-20 07,12,
2008-01-20 08,49,
2008-01-20 09,144,
2008-01-20 10,256,
2008-01-20 11,385,
2008-01-20 12,347,
2008-01-20 13,286,
2008-01-20 14,333,
2008-01-20 15,403,
2008-01-20 16,415,
2008-01-20 17,394,
2008-01-20 18,500,
2008-01-20 19,529,
2008-01-20 20,394,
2008-01-20 21,326,
2008-01-20 22,203,
2008-01-20 23,140,
2008-01-21 00,104,
2008-01-21 01,61,
2008-01-21 02,31,
2008-01-21 03,23,
2008-01-21 04,14,
2008-01-21 05,8,
2008-01-21 06,23,
2008-01-21 07,46,
2008-01-21 08,111,
2008-01-21 09,229,
2008-01-21 10,343,
2008-01-21 11,372,
2008-01-21 12,394,
2008-01-21 13,303,
2008-01-21 14,435,
2008-01-21 15,558,
2008-01-21 16,630,
2008-01-21 17,633,
2008-01-21 18,532,
2008-01-21 19,549,
2008-01-21 20,356,
2008-01-21 21,377,
2008-01-21 22,279,
2008-01-21 23,163,
2008-01-22 00,118,
2008-01-22 01,66,
2008-01-22 02,23,
2008-01-22 03,19,
2008-01-22 04,5,
2008-01-22 05,15,
2008-01-22 06,5,
2008-01-22 07,32,
2008-01-22 08,150,
2008-01-22 09,257,
2008-01-22 10,279,
2008-01-22 11,369,
2008-01-22 12,378,
2008-01-22 13,258,
2008-01-22 14,439,
2008-01-22 15,535,
2008-01-22 16,603,
2008-01-22 17,605,
2008-01-22 18,597,
2008-01-22 19,557,
2008-01-22 20,425,
2008-01-22 21,389,
2008-01-22 22,282,
2008-01-22 23,192,
2008-01-23 00,122,
2008-01-23 01,49,
2008-01-23 02,21,
2008-01-23 03,22,
2008-01-23 04,8,
2008-01-23 05,13,
2008-01-23 06,16,
2008-01-23 07,44,
2008-01-23 08,173,
2008-01-23 09,283,
2008-01-23 10,335,
2008-01-23 11,402,
2008-01-23 12,374,
2008-01-23 13,309,
2008-01-23 14,469,
2008-01-23 15,555,
2008-01-23 16,621,
2008-01-23 17,549,
2008-01-23 18,568,
2008-01-23 19,625,
2008-01-23 20,429,
2008-01-23 21,361,
2008-01-23 22,259,
2008-01-23 23,182,
2008-01-24 00,106,
2008-01-24 01,51,
2008-01-24 02,36,
2008-01-24 03,11,
2008-01-24 04,4,
2008-01-24 05,11,
2008-01-24 06,14,
2008-01-24 07,33,
2008-01-24 08,172,
2008-01-24 09,268,
2008-01-24 10,319,
2008-01-24 11,378,
2008-01-24 12,417,
2008-01-24 13,320,
2008-01-24 14,435,
2008-01-24 15,575,
2008-01-24 16,565,
2008-01-24 17,594,
2008-01-24 18,624,
2008-01-24 19,526,
2008-01-24 20,396,
2008-01-24 21,382,
2008-01-24 22,300,
2008-01-24 23,153,
2008-01-25 00,94,
2008-01-25 01,55,
2008-01-25 02,31,
2008-01-25 03,11,
2008-01-25 04,24,
2008-01-25 05,21,
2008-01-25 06,17,
2008-01-25 07,53,
2008-01-25 08,144,
2008-01-25 09,276,
2008-01-25 10,316,
2008-01-25 11,443,
2008-01-25 12,401,
2008-01-25 13,291,
2008-01-25 14,438,
2008-01-25 15,487,
2008-01-25 16,462,
2008-01-25 17,478,
2008-01-25 18,466,
2008-01-25 19,515,
2008-01-25 20,309,
2008-01-25 21,295,
2008-01-25 22,245,
2008-01-25 23,164,
2008-01-26 00,95,
2008-01-26 01,54,
2008-01-26 02,30,
2008-01-26 03,24,
2008-01-26 04,13,
2008-01-26 05,9,
2008-01-26 06,13,
2008-01-26 07,38,
2008-01-26 08,98,
2008-01-26 09,195,
2008-01-26 10,259,
2008-01-26 11,315,
2008-01-26 12,290,
2008-01-26 13,230,
2008-01-26 14,327,
2008-01-26 15,335,
2008-01-26 16,416,
2008-01-26 17,398,
2008-01-26 18,350,
2008-01-26 19,356,
2008-01-26 20,274,
2008-01-26 21,232,
2008-01-26 22,229,
2008-01-26 23,142,
2008-01-27 00,99,
2008-01-27 01,0,
2008-01-27 02,37,
2008-01-27 03,20,
2008-01-27 04,18,
2008-01-27 05,12,
2008-01-27 06,15,
2008-01-27 07,16,
2008-01-27 08,64,
2008-01-27 09,137,
2008-01-27 10,254,
2008-01-27 11,309,
2008-01-27 12,351,
2008-01-27 13,291,
2008-01-27 14,382,
2008-01-27 15,405,
2008-01-27 16,428,
2008-01-27 17,467,
2008-01-27 18,439,
2008-01-27 19,463,
2008-01-27 20,344,
2008-01-27 21,347,
2008-01-27 22,249,
2008-01-27 23,154,
2008-01-28 00,122,
2008-01-28 01,66,
2008-01-28 02,31,
2008-01-28 03,20,
2008-01-28 04,14,
2008-01-28 05,21,
2008-01-28 06,12,
2008-01-28 07,35,
2008-01-28 08,112,
2008-01-28 09,235,
2008-01-28 10,311,
2008-01-28 11,433,
2008-01-28 12,382,
2008-01-28 13,343,
2008-01-28 14,462,
2008-01-28 15,577,
2008-01-28 16,578,
2008-01-28 17,615,
2008-01-28 18,555,
2008-01-28 19,570,
2008-01-28 20,399,
2008-01-28 21,408,
2008-01-28 22,305,
2008-01-28 23,176,
2008-01-29 00,91,
2008-01-29 01,57,
2008-01-29 02,33,
2008-01-29 03,15,
2008-01-29 04,8,
2008-01-29 05,14,
2008-01-29 06,18,
2008-01-29 07,36,
2008-01-29 08,173,
2008-01-29 09,258,
2008-01-29 10,344,
2008-01-29 11,374,
2008-01-29 12,395,
2008-01-29 13,327,
2008-01-29 14,442,
2008-01-29 15,555,
2008-01-29 16,663,
2008-01-29 17,619,
2008-01-29 18,589,
2008-01-29 19,581,
2008-01-29 20,415,
2008-01-29 21,347,
2008-01-29 22,286,
2008-01-29 23,200,
2008-01-30 00,119,
2008-01-30 01,63,
2008-01-30 02,21,
2008-01-30 03,11,
2008-01-30 04,16,
2008-01-30 05,9,
2008-01-30 06,21,
2008-01-30 07,59,
2008-01-30 08,156,
2008-01-30 09,252,
2008-01-30 10,318,
2008-01-30 11,383,
2008-01-30 12,455,
2008-01-30 13,361,
2008-01-30 14,515,
2008-01-30 15,657,
2008-01-30 16,727,
2008-01-30 17,716,
2008-01-30 18,600,
2008-01-30 19,609,
2008-01-30 20,412,
2008-01-30 21,361,
2008-01-30 22,289,
2008-01-30 23,216,
2008-01-31 00,115,
2008-01-31 01,49,
2008-01-31 02,23,
2008-01-31 03,28,
2008-01-31 04,21,
2008-01-31 05,14,
2008-01-31 06,10,
2008-01-31 07,35,
2008-01-31 08,152,
2008-01-31 09,285,
2008-01-31 10,342,
2008-01-31 11,373,
2008-01-31 12,356,
2008-01-31 13,300,
2008-01-31 14,473,
2008-01-31 15,599,
2008-01-31 16,608,
2008-01-31 17,633,
2008-01-31 18,586,
2008-01-31 19,493,
2008-01-31 20,378,
2008-01-31 21,269,
2008-01-31 22,264,
2008-01-31 23,220,
2008-02-01 00,110,
2008-02-01 01,56,
2008-02-01 02,33,
2008-02-01 03,30,
2008-02-01 04,10,
2008-02-01 05,6,
2008-02-01 06,19,
2008-02-01 07,52,
2008-02-01 08,106,
2008-02-01 09,249,
2008-02-01 10,353,
2008-02-01 11,376,
2008-02-01 12,419,
2008-02-01 13,331,
2008-02-01 14,447,
2008-02-01 15,478,
2008-02-01 16,568,
2008-02-01 17,595,
2008-02-01 18,513,
2008-02-01 19,421,
2008-02-01 20,367,
2008-02-01 21,228,
2008-02-01 22,235,
2008-02-01 23,166,
2008-02-02 00,85,
2008-02-02 01,57,
2008-02-02 02,36,
2008-02-02 03,24,
2008-02-02 04,9,
2008-02-02 05,13,
2008-02-02 06,23,
2008-02-02 07,34,
2008-02-02 08,79,
2008-02-02 09,178,
2008-02-02 10,240,
2008-02-02 11,309,
2008-02-02 12,352,
2008-02-02 13,253,
2008-02-02 14,329,
2008-02-02 15,340,
2008-02-02 16,341,
2008-02-02 17,330,
2008-02-02 18,319,
2008-02-02 19,327,
2008-02-02 20,223,
2008-02-02 21,229,
2008-02-02 22,190,
2008-02-02 23,166,
2008-02-03 00,107,
2008-02-03 01,59,
2008-02-03 02,40,
2008-02-03 03,34,
2008-02-03 04,14,
2008-02-03 05,12,
2008-02-03 06,15,
2008-02-03 07,13,
2008-02-03 08,50,
2008-02-03 09,118,
2008-02-03 10,234,
2008-02-03 11,357,
2008-02-03 12,313,
2008-02-03 13,310,
2008-02-03 14,311,
2008-02-03 15,371,
2008-02-03 16,376,
2008-02-03 17,366,
2008-02-03 18,441,
2008-02-03 19,430,
2008-02-03 20,310,
2008-02-03 21,299,
2008-02-03 22,219,
2008-02-03 23,126,
2008-02-04 00,73,
2008-02-04 01,77,
2008-02-04 02,32,
2008-02-04 03,29,
2008-02-04 04,16,
2008-02-04 05,9,
2008-02-04 06,18,
2008-02-04 07,29,
2008-02-04 08,110,
2008-02-04 09,282,
2008-02-04 10,346,
2008-02-04 11,455,
2008-02-04 12,362,
2008-02-04 13,352,
2008-02-04 14,462,
2008-02-04 15,550,
2008-02-04 16,531,
2008-02-04 17,525,
2008-02-04 18,551,
2008-02-04 19,524,
2008-02-04 20,371,
2008-02-04 21,342,
2008-02-04 22,217,
2008-02-04 23,187,
2008-02-05 00,102,
2008-02-05 01,67,
2008-02-05 02,44,
2008-02-05 03,19,
2008-02-05 04,18,
2008-02-05 05,10,
2008-02-05 06,15,
2008-02-05 07,44,
2008-02-05 08,125,
2008-02-05 09,267,
2008-02-05 10,342,
2008-02-05 11,463,
2008-02-05 12,408,
2008-02-05 13,327,
2008-02-05 14,413,
2008-02-05 15,533,
2008-02-05 16,449,
2008-02-05 17,553,
2008-02-05 18,503,
2008-02-05 19,395,
2008-02-05 20,367,
2008-02-05 21,396,
2008-02-05 22,226,
2008-02-05 23,167,
2008-02-06 00,95,
2008-02-06 01,45,
2008-02-06 02,39,
2008-02-06 03,20,
2008-02-06 04,16,
2008-02-06 05,12,
2008-02-06 06,17,
2008-02-06 07,32,
2008-02-06 08,139,
2008-02-06 09,289,
2008-02-06 10,366,
2008-02-06 11,464,
2008-02-06 12,389,
2008-02-06 13,373,
2008-02-06 14,446,
2008-02-06 15,570,
2008-02-06 16,550,
2008-02-06 17,605,
2008-02-06 18,538,
2008-02-06 19,475,
2008-02-06 20,369,
2008-02-06 21,375,
2008-02-06 22,272,
2008-02-06 23,152,
2008-02-07 00,123,
2008-02-07 01,54,
2008-02-07 02,44,
2008-02-07 03,19,
2008-02-07 04,7,
2008-02-07 05,9,
2008-02-07 06,16,
2008-02-07 07,42,
2008-02-07 08,167,
2008-02-07 09,247,
2008-02-07 10,352,
2008-02-07 11,427,
2008-02-07 12,396,
2008-02-07 13,295,
2008-02-07 14,428,
2008-02-07 15,558,
2008-02-07 16,587,
2008-02-07 17,611,
2008-02-07 18,616,
2008-02-07 19,528,
2008-02-07 20,388,
2008-02-07 21,381,
2008-02-07 22,265,
2008-02-07 23,175,
2008-02-08 00,89,
2008-02-08 01,46,
2008-02-08 02,29,
2008-02-08 03,16,
2008-02-08 04,13,
2008-02-08 05,12,
2008-02-08 06,20,
2008-02-08 07,31,
2008-02-08 08,165,
2008-02-08 09,275,
2008-02-08 10,336,
2008-02-08 11,396,
2008-02-08 12,427,
2008-02-08 13,335,
2008-02-08 14,416,
2008-02-08 15,548,
2008-02-08 16,525,
2008-02-08 17,578,
2008-02-08 18,496,
2008-02-08 19,407,
2008-02-08 20,344,
2008-02-08 21,329,
2008-02-08 22,206,
2008-02-08 23,161,
2008-02-09 00,101,
2008-02-09 01,41,
2008-02-09 02,31,
2008-02-09 03,20,
2008-02-09 04,15,
2008-02-09 05,19,
2008-02-09 06,17,
2008-02-09 07,39,
2008-02-09 08,90,
2008-02-09 09,170,
2008-02-09 10,272,
2008-02-09 11,310,
2008-02-09 12,335,
2008-02-09 13,230,
2008-02-09 14,322,
2008-02-09 15,341,
2008-02-09 16,410,
2008-02-09 17,371,
2008-02-09 18,349,
2008-02-09 19,405,
2008-02-09 20,241,
2008-02-09 21,275,
2008-02-09 22,214,
2008-02-09 23,147,
2008-02-10 00,106,
2008-02-10 01,77,
2008-02-10 02,48,
2008-02-10 03,15,
2008-02-10 04,16,
2008-02-10 05,16,
2008-02-10 06,9,
2008-02-10 07,27,
2008-02-10 08,45,
2008-02-10 09,138,
2008-02-10 10,261,
2008-02-10 11,380,
2008-02-10 12,335,
2008-02-10 13,307,
2008-02-10 14,402,
2008-02-10 15,407,
2008-02-10 16,426,
2008-02-10 17,469,
2008-02-10 18,494,
2008-02-10 19,551,
2008-02-10 20,373,
2008-02-10 21,303,
2008-02-10 22,216,
2008-02-10 23,165,
2008-02-11 00,83,
2008-02-11 01,65,
2008-02-11 02,32,
2008-02-11 03,18,
2008-02-11 04,24,
2008-02-11 05,13,
2008-02-11 06,16,
2008-02-11 07,33,
2008-02-11 08,142,
2008-02-11 09,267,
2008-02-11 10,326,
2008-02-11 11,434,
2008-02-11 12,381,
2008-02-11 13,354,
2008-02-11 14,456,
2008-02-11 15,611,
2008-02-11 16,644,
2008-02-11 17,685,
2008-02-11 18,576,
2008-02-11 19,580,
2008-02-11 20,456,
2008-02-11 21,376,
2008-02-11 22,280,
2008-02-11 23,980,
2008-02-12 00,114,
2008-02-12 01,65,
2008-02-12 02,40,
2008-02-12 03,27,
2008-02-12 04,12,
2008-02-12 05,15,
2008-02-12 06,15,
2008-02-12 07,45,
2008-02-12 08,171,
2008-02-12 09,290,
2008-02-12 10,345,
2008-02-12 11,385,
2008-02-12 12,415,
2008-02-12 13,327,
2008-02-12 14,508,
2008-02-12 15,602,
2008-02-12 16,714,
2008-02-12 17,688,
2008-02-12 18,639,
2008-02-12 19,540,
2008-02-12 20,433,
2008-02-12 21,441,
2008-02-12 22,293,
2008-02-12 23,176,
2008-02-13 00,98,
2008-02-13 01,54,
2008-02-13 02,23,
2008-02-13 03,19,
2008-02-13 04,8,
2008-02-13 05,8,
2008-02-13 06,17,
2008-02-13 07,28,
2008-02-13 08,162,
2008-02-13 09,242,
2008-02-13 10,332,
2008-02-13 11,437,
2008-02-13 12,374,
2008-02-13 13,365,
2008-02-13 14,479,
2008-02-13 15,619,
2008-02-13 16,616,
2008-02-13 17,628,
2008-02-13 18,605,
2008-02-13 19,544,
2008-02-13 20,396,
2008-02-13 21,388,
2008-02-13 22,250,
2008-02-13 23,177,
2008-02-14 00,102,
2008-02-14 01,54,
2008-02-14 02,24,
2008-02-14 03,21,
2008-02-14 04,13,
2008-02-14 05,22,
2008-02-14 06,25,
2008-02-14 07,36,
2008-02-14 08,102,
2008-02-14 09,294,
2008-02-14 10,317,
2008-02-14 11,416,
2008-02-14 12,379,
2008-02-14 13,284,
2008-02-14 14,400,
2008-02-14 15,614,
2008-02-14 16,594,
2008-02-14 17,552,
2008-02-14 18,488,
2008-02-14 19,404,
2008-02-14 20,317,
2008-02-14 21,344,
2008-02-14 22,225,
2008-02-14 23,141,
2008-02-15 00,111,
2008-02-15 01,42,
2008-02-15 02,20,
2008-02-15 03,18,
2008-02-15 04,16,
2008-02-15 05,12,
2008-02-15 06,15,
2008-02-15 07,45,
2008-02-15 08,160,
2008-02-15 09,283,
2008-02-15 10,336,
2008-02-15 11,407,
2008-02-15 12,400,
2008-02-15 13,316,
2008-02-15 14,449,
2008-02-15 15,573,
2008-02-15 16,538,
2008-02-15 17,561,
2008-02-15 18,514,
2008-02-15 19,532,
2008-02-15 20,335,
2008-02-15 21,294,
2008-02-15 22,241,
2008-02-15 23,156,
2008-02-16 00,85,
2008-02-16 01,46,
2008-02-16 02,29,
2008-02-16 03,18,
2008-02-16 04,11,
2008-02-16 05,11,
2008-02-16 06,21,
2008-02-16 07,45,
2008-02-16 08,121,
2008-02-16 09,182,
2008-02-16 10,271,
2008-02-16 11,316,
2008-02-16 12,331,
2008-02-16 13,272,
2008-02-16 14,344,
2008-02-16 15,439,
2008-02-16 16,387,
2008-02-16 17,395,
2008-02-16 18,370,
2008-02-16 19,351,
2008-02-16 20,255,
2008-02-16 21,245,
2008-02-16 22,175,
2008-02-16 23,177,
2008-02-17 00,99,
2008-02-17 01,69,
2008-02-17 02,44,
2008-02-17 03,30,
2008-02-17 04,27,
2008-02-17 05,16,
2008-02-17 06,15,
2008-02-17 07,24,
2008-02-17 08,59,
2008-02-17 09,165,
2008-02-17 10,300,
2008-02-17 11,370,
2008-02-17 12,401,
2008-02-17 13,385,
2008-02-17 14,399,
2008-02-17 15,424,
2008-02-17 16,426,
2008-02-17 17,479,
2008-02-17 18,488,
2008-02-17 19,491,
2008-02-17 20,399,
2008-02-17 21,358,
2008-02-17 22,242,
2008-02-17 23,181,
2008-02-18 00,120,
2008-02-18 01,72,
2008-02-18 02,23,
2008-02-18 03,19,
2008-02-18 04,12,
2008-02-18 05,4,
2008-02-18 06,11,
2008-02-18 07,56,
2008-02-18 08,139,
2008-02-18 09,304,
2008-02-18 10,298,
2008-02-18 11,443,
